Clave,Fecha, Almacenamiento(hmÂ³)
ARLSO,2020-02-27,22.89
PMOSO,2020-02-27,30.84
ARCSO,2020-02-27,353.65
AGZCH,2020-02-27,78.14
AOBSO,2020-02-27,1432.83
PECSO,2020-02-27,2206.71
LCDSO,2020-02-27,732.7
LCDSO,2020-02-28,731.54
PECSO,2020-02-28,2205.08
AOBSO,2020-02-28,1426.18
AGZCH,2020-02-28,78.14
ARCSO,2020-02-28,349.78
PMOSO,2020-02-28,30.13
ARLSO,2020-02-28,22.89
CHTSO,2020-02-28,12.1
IRASO,2020-02-28,0.27
IRASO,2020-02-29,0.27
CHTSO,2020-02-29,12.07
ARLSO,2020-02-29,22.89
PMOSO,2020-02-29,29.42
ARCSO,2020-02-29,345.91
AGZCH,2020-02-29,78.14
AOBSO,2020-02-29,1416.2
PECSO,2020-02-29,2200.21
LCDSO,2020-02-29,730.76
LCDSO,2020-03-01,729.59
PECSO,2020-03-01,2194.52
AOBSO,2020-03-01,1410.66
AGZCH,2020-03-01,78.14
ARCSO,2020-03-01,341.72
PMOSO,2020-03-01,28.71
ARLSO,2020-03-01,22.89
CHTSO,2020-03-01,12.07
IRASO,2020-03-01,0.27
IRASO,2020-03-02,0.26
CHTSO,2020-03-02,12.03
ARLSO,2020-03-02,22.89
PMOSO,2020-03-02,28.71
ARCSO,2020-03-02,337.85
AGZCH,2020-03-02,78.02
AOBSO,2020-03-02,1399.58
PECSO,2020-03-02,2198.58
LCDSO,2020-03-02,728.82
LCDSO,2020-03-03,728.82
PECSO,2020-03-03,2196.96
AOBSO,2020-03-03,1387.38
AGZCH,2020-03-03,78.02
ARCSO,2020-03-03,334.3
PMOSO,2020-03-03,28.63
ARLSO,2020-03-03,22.89
CHTSO,2020-03-03,12.03
IRASO,2020-03-03,0.26
IRASO,2020-03-04,0.26
CHTSO,2020-03-04,12.03
ARLSO,2020-03-04,22.89
PMOSO,2020-03-04,28.63
ARCSO,2020-03-04,330.43
AGZCH,2020-03-04,78.02
AOBSO,2020-03-04,1377.41
PECSO,2020-03-04,2194.52
LCDSO,2020-03-04,728.04
LCDSO,2020-03-05,727.26
PECSO,2020-03-05,2192.09
AOBSO,2020-03-05,1371.87
AGZCH,2020-03-05,78.02
ARCSO,2020-03-05,326.56
PMOSO,2020-03-05,28.63
ARLSO,2020-03-05,22.08
CHTSO,2020-03-05,12.03
IRASO,2020-03-05,0.26
IRASO,2020-03-06,0.25
CHTSO,2020-03-06,12.03
ARLSO,2020-03-06,21.77
PMOSO,2020-03-06,28.63
ARCSO,2020-03-06,323.34
AGZCH,2020-03-06,77.89
AOBSO,2020-03-06,1363.0
PECSO,2020-03-06,2190.46
LCDSO,2020-03-06,726.48
LCDSO,2020-03-07,726.09
PECSO,2020-03-07,2188.84
AOBSO,2020-03-07,1353.02
AGZCH,2020-03-07,77.89
ARCSO,2020-03-07,321.56
PMOSO,2020-03-07,28.63
ARLSO,2020-03-07,21.57
CHTSO,2020-03-07,12.03
IRASO,2020-03-07,0.25
IRASO,2020-03-08,0.25
CHTSO,2020-03-08,12.03
ARLSO,2020-03-08,21.37
PMOSO,2020-03-08,28.63
ARCSO,2020-03-08,320.67
AGZCH,2020-03-08,77.82
AOBSO,2020-03-08,1345.26
PECSO,2020-03-08,2188.84
LCDSO,2020-03-08,724.93
LCDSO,2020-03-09,725.7
PECSO,2020-03-09,2191.28
AOBSO,2020-03-09,1332.31
AGZCH,2020-03-09,77.82
ARCSO,2020-03-09,319.19
PMOSO,2020-03-09,28.78
ARLSO,2020-03-09,21.16
CHTSO,2020-03-09,12.0
